audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
71,positive,15,False,negative,thedarkestminds,2018,The Darkest Minds
69,positive,86,True,positive,theskeletontwins,2015,The Skeleton Twins
84,positive,99,True,positive,allthatbreathes,2023,All That Breathes
75,positive,91,True,positive,attacktheblock,2014,Attack the Block
88,positive,91,True,positive,hoosiers,2015,Hoosiers
41,negative,62,False,positive,maryqueenofscots,2019,Mary Queen of Scots
74,positive,83,True,positive,matchstickmen,2009,Matchstick Men
91,positive,96,False,positive,onlyyou,2019,Only You
57,negative,49,False,negative,openseason,2012,Open Season
47,negative,29,False,negative,rimoftheworld,2019,Rim of the World
69,positive,86,True,positive,romancingthestone,2015,Romancing the Stone
74,positive,95,True,positive,romeoandjuliet,2015,Romeo and Juliet
59,negative,60,False,positive,safe,2014,Safe
,,,False,,shadowisland,2023,Shadow Island
80,positive,92,True,positive,shakespeareinlove,2016,Shakespeare in Love
88,positive,85,False,positive,theholymountain,2016,The Holy Mountain
46,negative,17,False,negative,themisfits,2021,The Misfits
87,positive,64,False,positive,themission,2008,The Mission
30,negative,36,False,negative,theothersideofthedoor,2016,The Other Side of the Door
90,positive,60,False,positive,thesecretlifeofpets2,2019,The Secret Life of Pets 2
72,positive,18,False,negative,thetaxcollector,2020,The Tax Collector
23,negative,22,False,negative,thunderforce,2021,Thunder Force
95,positive,82,True,positive,abominable,2019,Abominable
44,negative,45,False,negative,bigfatliar,2016,Big Fat Liar
59,negative,28,False,negative,halloween,2017,Halloween
90,positive,72,False,positive,papillon,2011,Papillon
54,negative,62,False,positive,thegreasystrangler,2017,The Greasy Strangler
89,positive,87,True,positive,thelastkingofscotland,2015,The Last King of Scotland
39,negative,31,False,negative,thepeoplewehateatthewedding,2022,The People We Hate at the Wedding
33,negative,43,False,negative,bodycam,2020,Body Cam
46,negative,16,False,negative,eragon,2015,Eragon
55,negative,64,False,positive,mama,2015,Mama
76,positive,86,False,positive,missing:thelucieblackmancase,2023,Missing: The Lucie Blackman Case
49,negative,30,False,negative,murderbynumbers,2010,Murder by Numbers
96,positive,80,False,positive,queenofknives,2024,Queen of Knives
48,negative,14,False,negative,ridealong2,2016,Ride Along 2
54,negative,50,False,negative,savages,2015,Savages
89,positive,88,False,positive,smoke,2016,Smoke
43,negative,9,False,negative,taxi,2013,Taxi
19,negative,4,False,negative,thefog,2011,The Fog
83,positive,100,False,positive,thewitcher:nightmareofthewolf,2021,The Witcher: Nightmare of the Wolf
23,negative,50,False,negative,tin&tina,2023,Tin & Tina
54,negative,40,False,negative,wrongturn,2015,Wrong Turn
52,negative,23,False,negative,8mm,2010,8MM
74,positive,41,False,negative,baseketball,2012,BASEketball
93,positive,95,True,positive,boburnham:inside,2021,Bo Burnham: Inside
